year;hare;lynx;nao;soi (MONTHLY);;;;;;;;;;;;
1891;52000;;-0.82;5.3;6.8;9.2;10.0;12.2;13.1;14.2;14.7;13.7;11.4;10.1;8.9;
1892;56000;;-2.02;6.5;8.1;5.9;9.8;11.7;11.9;13.0;12.2;11.2;9.2;8.0;7.2;
1893;66000;;-1.07;5.7;5.6;8.8;9.1;11.1;11.8;12.2;13.0;11.6;9.6;8.6;7.8;
1894;62000;;2.68;3.5;6.1;7.5;9.4;11.7;12.7;13.8;12.4;12.0;10.8;9.0;7.7;
1895;80000;;-3.97;5.5;7.1;8.4;10.0;12.2;12.8;12.9;12.6;11.7;10.8;10.8;7.7;
1896;95000;;1.12;6.2;6.2;7.8;9.2;13.7;13.3;13.5;14.8;13.6;12.9;10.1;9.6;
1897;58000;5893;1.09;7.6;7.3;9.8;10.8;12.7;12.6;13.7;13.0;11.7;10.7;9.1;5.7;
1898;20000;4270;1.02;6.1;5.2;4.0;9.2;11.5;12.1;13.1;12.5;10.7;9.6;6.9;6.2;
1899;5000;2069;0.03;5.5;7.3;6.2;9.3;11.4;13.0;13.5;12.8;12.5;11.8;9.8;8.1;
1900;2000;1824;-2.13;7.7;8.1;9.9;10.8;11.5;12.0;12.1;11.2;11.4;10.6;9.1;8.4;
1901;18000;1532;-0.33;6.5;6.8;7.4;9.8;11.5;12.2;13.2;13.1;12.8;10.5;9.9;7.4;
1902;1000;2272;-1.41;5.8;8.1;8.1;10.3;12.8;13.1;14.0;13.4;13.4;12.2;10.9;8.4;
1903;6000;2335;3.89;8.1;8.6;5.9;9.0;11.0;12.8;11.6;12.8;11.2;10.0;8.4;5.4;
1904;45000;3344;0.23;5.9;5.5;7.1;7.6;10.8;13.3;13.3;13.2;12.0;9.9;10.1;7.9;
1905;50000;4754;1.98;7.7;7.9;10.7;10.7;11.1;12.7;13.7;13.6;11.8;10.3;10.8;8.6;
1906;20000;4467;2.06;6.5;7.2;8.6;10.0;11.1;12.1;12.0;12.5;10.5;9.8;7.2;6.8;
1907;20000;2623;2.06;5.0;6.2;8.0;9.8;11.4;11.6;12.4;12.8;12.1;10.6;8.7;5.9;
1908;22000;1171;1.44;7.7;5.6;7.3;8.1;11.2;12.9;13.0;12.4;11.7;10.2;8.4;6.9;
1909;27000;797;0.00;5.6;7.6;5.8;9.7;10.5;11.6;12.1;11.9;11.2;9.6;8.3;6.7;
1910;50000;1184;2.10;4.4;5.0;6.8;8.2;11.1;11.1;11.8;11.8;10.6;10.6;7.1;5.7;
1911;55000;1438;0.29;5.5;5.6;7.8;8.6;11.8;14.0;13.5;13.4;12.1;12.0;9.9;7.6;
1912;78000;1552;0.24;7.6;9.0;8.1;11.7;12.4;12.4;12.0;13.3;11.2;11.0;8.8;8.6;
1913;70000;2949;2.69;6.0;7.0;6.9;9.6;12.4;13.3;13.9;13.0;13.3;11.9;10.1;8.1;
1914;59000;;1.48;8.5;8.5;7.5;10.3;11.1;13.4;14.4;14.7;13.4;13.4;10.7;8.6;
1915;28000;4242;-0.20;8.6;7.7;10.6;11.3;11.7;11.7;12.0;12.6;10.5;9.9;8.5;5.4;
1916;20000;4664;-0.69;5.2;5.9;7.6;9.8;9.9;10.4;11.2;12.3;10.8;9.0;7.7;4.2;
1917;15000;1889;-3.80;6.1;7.3;5.8;8.5;10.5;11.1;11.0;10.9;10.4;9.7;7.4;5.1;
1918;15000;722;-0.80;5.5;5.4;8.9;9.0;10.7;12.4;14.0;13.5;14.1;11.2;9.2;8.0;
1919;25000;317;-0.80;7.2;8.8;8.5;9.4;10.9;12.9;13.2;13.7;12.3;11.2;9.8;8.1;
1920;35000;287;3.18;5.1;6.9;8.9;8.9;10.8;10.2;11.2;12.0;11.0;10.2;8.4;5.5;
1921;65000;380;1.63;4.9;6.5;6.7;10.0;10.0;10.6;12.1;13.1;12.0;10.4;8.9;6.2;
1922;78000;762;1.85;5.5;5.1;6.8;9.4;10.6;11.6;12.6;12.9;11.5;10.6;8.7;6.2;
1923;82000;1467;1.73;5.1;6.5;6.4;8.1;10.2;11.6;13.9;14.6;12.4;11.4;9.5;7.0;
1924;65000;1904;-1.13;7.4;6.8;7.3;9.4;10.5;12.3;13.2;12.8;12.0;9.5;8.0;5.8;
1925;26000;3029;2.39;5.4;3.9;5.2;7.9;10.5;12.1;13.9;12.8;12.8;11.6;10.3;8.3;
1926;15000;3178;0.11;6.5;8.5;9.4;10.2;11.1;12.8;12.9;12.9;11.4;9.8;9.5;6.5;
1927;10000;1806;1.72;5.1;6.9;6.8;8.6;10.7;11.8;12.4;13.3;12.4;11.2;9.5;7.1;
1928;1000;664;0.63;8.3;5.8;6.5;9.0;11.9;12.8;12.7;13.2;11.7;9.3;9.6;6.3;
1929;2000;349;-1.03;3.1;4.3;7.4;9.5;11.9;13.4;13.7;13.2;12.5;10.8;8.0;6.3;
1930;3000;288;0.91;4.8;6.6;8.2;10.0;12.0;12.9;13.5;13.6;13.2;11.7;10.8;7.9;
1931;22000;575;-0.16;6.3;8.3;8.6;9.4;11.4;12.7;13.2;12.5;11.2;11.4;8.9;6.8;
1932;75000;931;-0.50;5.3;7.4;7.9;10.2;11.0;12.5;13.5;13.5;11.7;10.2;9.0;6.4;
1933;95000;1265;0.25;6.8;5.5;6.7;9.5;11.2;12.5;13.0;13.3;11.7;9.8;8.1;6.4;
1934;78000;1692;0.86;5.9;7.3;7.0;8.8;11.4;11.7;12.5;13.6;12.2;10.9;8.6;7.4;
1935;20000;1861;0.97;5.4;7.4;6.0;9.4;12.0;12.8;12.7;13.5;10.8;9.7;9.2;8.1;
1936;;1252;-3.89;6.7;6.9;7.6;9.1;10.1;12.6;12.5;12.1;11.6;10.7;9.4;6.8;
1937;;591;0.72;5.2;7.8;6.0;9.2;12.0;12.2;13.4;12.6;12.5;10.9;8.3;6.5;
1938;;445;1.79;5.2;5.6;8.0;9.0;9.8;11.4;11.8;11.7;11.7;10.7;7.8;6.8;
1939;;343;0.37;4.8;5.9;6.5;9.1;11.2;12.4;12.8;11.6;13.3;11.6;9.2;9.2;
1940;;;-2.86;5.7;6.5;8.7;10.7;12.2;14.0;14.3;14.1;14.1;13.8;9.6;9.9;
1941;;;-2.31;7.8;9.7;8.7;10.6;11.2;13.7;15.4;14.5;12.7;11.9;9.2;8.8;
1942;;;-0.55;8.5;6.3;8.6;10.3;9.8;11.8;13.2;12.1;11.1;9.5;8.3;6.7;
1943;;;1.48;6.3;4.9;7.4;8.8;10.8;13.1;12.6;12.0;11.1;9.7;8.4;7.7;
1944;;;0.61;7.2;6.7;7.6;10.2;11.6;13.1;14.0;13.5;12.4;11.3;9.0;6.3;
1945;;;1.64;6.5;6.4;5.8;10.3;11.3;11.8;13.4;12.2;11.9;11.1;9.3;7.2;
1946;;;0.27;6.3;5.5;8.6;10.4;11.6;13.2;13.8;13.4;12.7;11.8;9.2;7.3;
1947;;;-2.71;7.5;6.3;7.0;9.6;12.4;12.6;13.2;11.6;11.5;10.6;8.2;6.7;
1948;;;1.34;7.3;6.5;7.6;9.0;10.8;12.7;12.3;12.2;12.2;10.4;7.6;7.7;
1949;;;1.87;7.3;5.6;6.2;10.1;11.1;13.5;13.0;13.4;11.8;9.8;9.0;5.2;
1950;;;1.40;4.7;4.3;6.5;7.7;9.9;10.7;12.1;12.0;11.7;9.5;6.5;4.4;
1951;;;-1.26;5.3;5.1;7.0;9.4;11.9;11.2;13.3;13.2;12.5;11.4;9.5;8.9;
1952;;;0.83;6.7;7.1;8.3;10.3;10.3;12.5;13.0;12.6;12.1;9.9;7.7;8.4;
1953;;;0.18;6.9;7.3;8.0;8.9;13.1;12.5;13.9;13.0;13.2;10.8;9.4;8.1;
1954;;;0.13;4.9;7.3;7.7;7.7;10.1;12.3;12.4;11.8;11.9;10.7;9.1;6.5;
1955;;;-2.52;8.3;3.7;6.7;8.9;9.4;10.9;11.7;11.4;10.9;9.3;7.6;7.6;
1956;;;-1.73;4.8;4.7;6.9;8.3;9.1;11.3;11.2;11.5;11.4;9.7;8.7;5.6;
1957;;;1.52;6.5;6.4;7.8;9.5;12.3;12.5;12.9;13.3;13.1;11.5;9.8;7.7;
1958;;;-1.02;8.5;7.1;8.1;8.9;10.9;11.6;12.4;11.6;11.5;9.6;9.1;8.3;
1959;;;-0.37;6.1;8.7;6.9;8.9;10.4;12.8;13.5;13.1;11.9;10.5;7.7;6.1;
1960;;;-1.54;6.5;6.7;7.1;8.5;10.0;12.5;12.5;12.5;10.5;10.7;8.7;7.2;
1961;;;1.80;7.2;6.4;9.6;9.2;11.1;12.8;13.1;13.2;12.1;10.4;9.2;6.7;
1962;;;-2.38;5.1;7.4;8.4;9.8;10.1;11.5;12.3;13.3;11.1;9.7;8.1;7.3;
1963;;;-3.60;5.9;8.0;6.7;8.5;10.3;13.3;13.5;12.4;12.7;12.4;10.3;9.0;
1964;;;-2.86;7.3;7.1;7.0;9.1;10.5;11.8;12.0;12.1;10.4;9.5;7.8;7.6;
1965;;;-2.88;6.3;5.7;6.9;11.2;11.2;14.0;15.5;13.7;13.3;12.4;10.4;6.6;
1966;;;-1.69;7.5;6.7;8.6;9.9;12.3;13.3;12.9;12.6;12.1;11.3;8.9;7.6;
1967;;;1.28;5.0;5.6;7.2;10.7;11.0;12.5;12.8;12.8;12.7;10.8;8.9;7.8;
1968;;;-1.04;4.1;5.1;8.2;9.7;9.5;12.2;12.7;12.7;12.2;11.0;9.8;7.3;
1969;;;-4.89;5.8;6.3;8.3;10.9;11.0;12.7;13.5;13.4;11.8;11.5;9.1;6.9;
1970;;;-1.89;8.2;7.2;7.2;10.0;10.6;11.8;13.8;12.0;10.1;8.7;7.5;5.2;
1971;;;-0.96;5.8;4.5;6.0;8.0;10.4;13.0;12.5;11.7;10.8;9.5;8.3;5.8;
1972;;;0.34;5.8;5.1;6.7;10.6;13.7;12.8;13.8;13.8;13.7;12.6;9.8;9.6;
1973;;;2.52;7.3;8.3;7.0;9.0;10.8;11.0;12.4;11.5;11.4;10.0;5.7;6.6;
1974;;;1.23;4.0;4.4;5.5;8.8;11.0;12.4;12.6;12.1;11.0;9.6;7.7;6.1;
1975;;;1.63;6.4;6.9;6.6;7.8;10.4;11.4;11.7;11.3;10.4;8.9;8.0;5.5;
1976;;;1.37;5.1;5.4;5.6;9.9;12.0;12.6;14.0;14.1;12.9;9.9;7.8;6.5;
1977;;;-2.14;5.9;5.6;8.1;9.3;11.3;13.5;13.6;13.6;12.9;12.3;10.0;8.1;
1978;;;0.17;8.2;8.9;9.5;10.1;9.3;11.1;11.3;11.9;11.6;10.7;9.1;7.4;
1979;;;-2.25;6.0;6.9;7.9;9.7;11.2;12.6;11.1;13.3;11.7;11.0;9.1;8.5;
1980;;;0.56;5.9;6.3;7.2;9.7;11.3;12.5;13.2;13.4;12.7;10.7;9.1;7.3;
1981;;;2.05;5.1;6.2;9.9;9.9;10.5;11.5;11.8;12.4;11.5;11.1;8.4;7.5;
1982;;;0.80;6.3;7.0;7.5;10.1;11.9;13.9;14.5;14.7;14.0;12.5;11.1;9.3;
1983;;;3.42;9.8;10.3;10.1;10.1;11.7;13.3;14.4;14.1;12.1;10.5;9.7;8.5;
1984;;;1.60;7.1;5.3;8.1;10.1;11.1;13.2;13.2;12.2;11.8;11.3;9.3;5.1;
1985;;;-0.63;7.5;5.4;6.1;7.5;9.4;12.6;13.6;12.4;11.5;10.7;8.4;7.6;
1986;;;0.50;4.7;6.9;8.4;9.3;11.6;11.0;12.8;12.0;12.2;10.9;9.3;9.7;
1987;;;-0.75;7.1;7.4;10.7;11.5;12.6;13.1;14.7;14.3;13.5;11.2;8.9;7.8;
1988;;;0.72;7.8;6.7;6.8;10.1;10.8;13.9;12.8;12.5;10.6;9.1;7.4;6.5;
1989;;;5.08;5.4;6.8;7.3;7.6;10.1;12.8;12.1;13.3;11.7;9.9;8.7;8.9;
1990;;;3.96;6.9;10.0;8.3;9.7;10.3;12.4;12.8;13.5;13.3;10.9;9.1;7.7;
1991;;;1.03;6.3;6.5;9.5;9.9;12.6;13.3;13.4;14.0;13.3;11.1;10.1;8.5;
1992;;;3.28;10.1;7.7;10.5;11.0;11.1;12.5;14.9;12.8;11.2;11.2;9.5;7.3;
1993;;;2.67;6.8;6.4;10.1;11.4;12.4;13.9;13.5;15.1;13.4;12.0;9.0;7.0;
1994;;;3.03;6.7;6.5;9.4;10.8;12.0;12.9;14.1;14.9;13.5;11.9;9.8;9.3;
1995;;;3.96;7.0;7.8;7.2;9.6;11.6;13.0;12.7;13.2;12.0;10.2;8.8;7.5;
1996;;;-3.78;5.7;6.2;7.4;9.0;12.2;12.4;12.5;12.4;10.3;9.7;8.4;5.6;
1997;;;-0.20;7.3;4.8;8.6;11.9;11.9;14.7;14.3;15.1;14.7;13.4;11.4;8.6;
1998;;;0.72;7.8;10.2;10.0;11.1;11.5;12.1;12.6;12.7;11.6;9.6;7.3;5.9;
1999;;;1.70;4.9;6.2;6.3;8.7;12.1;13.1;13.2;14.0;12.4;10.3;8.0;6.6;
2000;;;2.80;6.7;6.6;7.4;8.6;11.7;13.5;13.1;12.2;12.0;9.1;6.5;4.9;
2001;;;-1.89;7.2;3.5;7.9;9.4;12.2;12.2;13.4;13.3;11.8;9.9;8.4;7.7;
2002;;;0.76;7.2;6.6;9.1;10.0;12.1;13.1;14.6;13.7;13.0;10.5;9.8;9.1;
2003;;;0.20;6.9;6.6;8.5;10.5;11.5;13.0;13.4;13.0;12.1;10.3;9.3;6.2;
2004;;;;7.6;6.2;6.8;10.6;10.6;14.5;13.9;13.5;13.1;11.1;9.2;7.3;
2005;;;;6.3;9.0;8.5;11.1;12.3;12.1;13.2;13.5;11.9;9.9;8.3;7.7;
2006;;;;4.7;7.4;-99.9;-99.9;-99.9;-99.9;-99.9;-99.9;-99.9;-99.9;-99.9;-99.9;
